e,y,pathway,term,estimate,std.error,statistic,p.value
bmi,alt_log_adj,REACTOME_2_LTR_CIRCLE_FORMATION,ppgs,0.002061415888293858,0.005907152805969421,0.348969453813809,0.7271148338549329
bmi,alt_log_adj,REACTOME_2_LTR_CIRCLE_FORMATION,bmi,0.2884170809670499,0.005761408156089166,50.06017160270535,0
bmi,alt_log_adj,REACTOME_2_LTR_CIRCLE_FORMATION,ppgs:bmi,0.008127014633557804,0.005852375603586369,1.3886693513959567,0.16494422832166905
bmi,alt_log_adj,REACTOME_ABACAVIR_ADME,ppgs,0.002662515311091013,0.005687127452157846,0.46816522637993363,0.6396700367826553
bmi,alt_log_adj,REACTOME_ABACAVIR_ADME,bmi,0.28849843826560156,0.0057613725311495365,50.074602311480625,0
bmi,alt_log_adj,REACTOME_ABACAVIR_ADME,ppgs:bmi,0.01104109369300505,0.005775441542233519,1.911731529488421,0.05592070898744188
bmi,alt_log_adj,REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,ppgs,0.004097697502898469,0.005681509409691796,0.7212339551719157,0.4707715318281067
bmi,alt_log_adj,REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,bmi,0.2884527163504116,0.005761369770002845,50.066690364550084,0
bmi,alt_log_adj,REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,ppgs:bmi,0.008670833153317011,0.005762352594368478,1.5047383878922957,0.13240249053889708
bmi,alt_log_adj,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,ppgs,0.031331517579337796,0.005890072845282408,5.3193769249275835,1.0491213666840566e-7
bmi,alt_log_adj,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,bmi,0.2882478976142546,0.005757876654052146,50.061492271008994,0
bmi,alt_log_adj,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,ppgs:bmi,0.019041400149787543,0.005912599586044804,3.2204785513854097,0.001281210131035534
bmi,alt_log_adj,REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,ppgs,-0.007171384009083351,0.0056971410474923575,-1.2587689069484935,0.20812418000837085
bmi,alt_log_adj,REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,bmi,0.288415021526418,0.005762317002091713,50.05191859832143,0
bmi,alt_log_adj,REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,ppgs:bmi,0.003545319978151682,0.005874200589986298,0.6035408433609435,0.5461537821412816
bmi,alt_log_adj,REACTOME_ABC_TRANSPORTER_DISORDERS,ppgs,0.03142659467945341,0.005894711165995785,5.331320533691418,9.824635355689098e-8
bmi,alt_log_adj,REACTOME_ABC_TRANSPORTER_DISORDERS,bmi,0.2882559456552738,0.0057577955158495744,50.06359549619071,0
bmi,alt_log_adj,REACTOME_ABC_TRANSPORTER_DISORDERS,ppgs:bmi,0.019430982520697675,0.0059221447456420774,3.281071867585866,0.0010353825921877932
bmi,alt_log_adj,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,ppgs,0.01004099728489393,0.005668953220860518,1.7712259907076386,0.07653387123172707
bmi,alt_log_adj,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,bmi,0.288471175658104,0.0057614501610643845,50.06919570485552,0
bmi,alt_log_adj,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,ppgs:bmi,-0.006905307498814232,0.0055708597037882725,-1.2395407290760732,0.21515557649915407
bmi,alt_log_adj,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,ppgs,-7.448509688217233e-4,0.005685458672437049,-0.13100982906317493,0.895768461614841
