e,y,pathway,term,estimate,std.error,statistic,p.value
bmi,alt_log_adj,Base,ppgs,0.3783140269125311,0.036651050313946935,10.322051446601249,6.201143345455595e-25
bmi,alt_log_adj,Base,bmi,0.2876121029683452,0.005773609067833129,49.814959687994225,0
bmi,alt_log_adj,Base,ppgs:bmi,-0.0028592100061043905,0.03671359514443675,-0.0778787801863542,0.9379250287410181
bmi,alt_log_adj,REACTOME_2_LTR_CIRCLE_FORMATION,ppgs,0.001199610076985015,0.006021604255922572,0.19921768784541657,0.8420938926213721
bmi,alt_log_adj,REACTOME_2_LTR_CIRCLE_FORMATION,bmi,0.2884365133330959,0.005761443403448115,50.0632381740437,0
bmi,alt_log_adj,REACTOME_2_LTR_CIRCLE_FORMATION,ppgs:bmi,0.008095814744498185,0.005954237601145683,1.3596727720338926,0.17394431228397647
bmi,alt_log_adj,REACTOME_ABACAVIR_ADME,ppgs,0.002536539214269061,0.005691437169564095,0.4456763974894821,0.6558344196789678
bmi,alt_log_adj,REACTOME_ABACAVIR_ADME,bmi,0.2884933008195137,0.005761298448831632,50.07435448479829,0
bmi,alt_log_adj,REACTOME_ABACAVIR_ADME,ppgs:bmi,0.011644031001181837,0.00572087702859488,2.035357680820795,0.041824177861183726
bmi,alt_log_adj,REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,ppgs,0.006252052638447417,0.005705649556091682,1.0957652721191686,0.2731908188186406
bmi,alt_log_adj,REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,bmi,0.2885143904929314,0.005761281452760585,50.07816279391912,0
bmi,alt_log_adj,REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,ppgs:bmi,0.01109692238842345,0.005728625003376174,1.937100505249246,0.052742981128037776
bmi,alt_log_adj,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,ppgs,0.041854989608866286,0.00585571258428365,7.147719258148418,9.036422415754456e-13
bmi,alt_log_adj,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,bmi,0.28813927385031907,0.005755991395305282,50.05901747617831,0
bmi,alt_log_adj,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,ppgs:bmi,0.01738976616093787,0.005890383471165754,2.9522298923428663,0.0031574646932666034
bmi,alt_log_adj,REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,ppgs,0.00819002182457729,0.005867798975541885,1.3957570562173103,0.16279859770744573
bmi,alt_log_adj,REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,bmi,0.28838477421842784,0.005761530493452466,50.05350133027237,0
bmi,alt_log_adj,REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,ppgs:bmi,-4.4040785485129676e-4,0.005915582102377345,-0.0744487773526643,0.9406538230476534
bmi,alt_log_adj,REACTOME_ABC_TRANSPORTER_DISORDERS,ppgs,0.033253098725352905,0.006033227279258483,5.511660208736558,3.585568227836044e-8
bmi,alt_log_adj,REACTOME_ABC_TRANSPORTER_DISORDERS,bmi,0.28865939641205224,0.005758695394984139,50.12583174020221,0
bmi,alt_log_adj,REACTOME_ABC_TRANSPORTER_DISORDERS,ppgs:bmi,0.0060939914894636606,0.006067049832975903,1.0044406519197062,0.31517483730592416
bmi,alt_log_adj,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,ppgs,0.0069728548031359,0.0057309612397078115,1.2166989989084982,0.22372888977990868
